record_type,id,version_label,release_date,is_synthetic,scf_version_id,domain_code,domain_name,description,sort_order,control_code,control_title,control_description,framework_code,framework_name,framework_version,publisher,category,requirement_code,requirement_title,requirement_text,scf_domain_id,scf_framework_id,scf_framework_requirement_id,scf_control_id,relationship_type,mapping_source,is_official
"control","","","","false","","CPL","","","","CPL-02","Compliance Monitoring","Monitor compliance with cybersecurity and data privacy requirements.","","","","","","","","","","","","","","",""
"control","","","","false","","CPL","","","","CPL-03","Compliance Remediation","Remediate identified compliance deficiencies in a timely manner.","","","","","","","","","","","","","","",""
"control","","","","false","","CFG","","","","CFG-01","Configuration Management Program","Enforce secure configurations according to vendor and industry recommendations.","","","","","","","","","","","","","","",""
"control","","","","false","","CFG","","","","CFG-02","System Hardening","Apply system hardening through secure configuration baselines.","","","","","","","","","","","","","","",""
"control","","","","false","","MON","","","","MON-01","Continuous Monitoring","Maintain situational awareness through centralized event log collection and analysis.","","","","","","","","","","","","","","",""
"control","","","","false","","MON","","","","MON-02","Centralized Event Log Collection","Implement centralized event log collection from systems and services.","","","","","","","","","","","","","","",""
"control","","","","false","","MON","","","","MON-03","Content of Audit Records","Ensure audit records contain sufficient information for forensic analysis.","","","","","","","","","","","","","","",""
"control","","","","false","","CRY","","","","CRY-01","Use of Cryptographic Controls","Utilize appropriate cryptographic solutions to protect data confidentiality and integrity.","","","","","","","","","","","","","","",""
"control","","","","false","","CRY","","","","CRY-02","Cryptographic Key Management","Implement industry-recognized key management practices.","","","","","","","","","","","","","","",""
"control","","","","false","","DCH","","","","DCH-01","Data Protection","Enforce a standardized data classification methodology.","","","","","","","","","","","","","","",""
"control","","","","false","","DCH","","","","DCH-02","Data Classification","Classify data based on sensitivity and criticality.","","","","","","","","","","","","","","",""
"control","","","","false","","DCH","","","","DCH-03","Media Protection","Protect media containing sensitive information throughout its lifecycle.","","","","","","","","","","","","","","",""
"control","","","","false","","EMB","","","","EMB-01","Embedded Technology Security","Apply additional scrutiny to reduce risks associated with embedded technology.","","","","","","","","","","","","","","",""
"control","","","","false","","END","","","","END-01","Endpoint Protection","Implement endpoint protection solutions on all endpoint devices.","","","","","","","","","","","","","","",""
"control","","","","false","","END","","","","END-02","Malicious Code Protection","Deploy and maintain anti-malware solutions on appropriate systems.","","","","","","","","","","","","","","",""
"control","","","","false","","HRS","","","","HRS-01","Human Resources Security Management","Execute sound hiring practices and ongoing personnel management.","","","","","","","","","","","","","","",""
"control","","","","false","","HRS","","","","HRS-02","Personnel Screening","Screen personnel prior to granting access to organizational systems.","","","","","","","","","","","","","","",""
"control","","","","false","","HRS","","","","HRS-03","Terms & Conditions of Employment","Establish terms and conditions of employment addressing security responsibilities.","","","","","","","","","","","","","","",""
"control","","","","false","","IAC","","","","IAC-01","Identity & Access Management","Enforce least privilege through documented IAM capability.","","","","","","","","","","","","","","",""
"control","","","","false","","IAC","","","","IAC-02","Identification & Authentication for Organizational Users","Uniquely identify and authenticate organizational users.","","","","","","","","","","","","","","",""
"control","","","","false","","IAC","","","","IAC-03","Multi-Factor Authentication","Implement MFA for privileged and remote access.","","","","","","","","","","","","","","",""
"control","","","","false","","IAC","","","","IAC-04","Access Enforcement","Enforce approved authorizations for logical access to information systems.","","","","","","","","","","","","","","",""
"control","","","","false","","IAC","","","","IAC-05","Least Privilege","Employ the principle of least privilege for all system access.","","","","","","","","","","","","","","",""
"control","","","","false","","IRO","","","","IRO-01","Incident Response Operations","Maintain a viable incident response capability.","","","","","","","","","","","","","","",""
"control","","","","false","","IRO","","","","IRO-02","Incident Handling","Handle incidents in accordance with a documented Incident Response Plan.","","","","","","","","","","","","","","",""
"control","","","","false","","IRO","","","","IRO-03","Incident Reporting","Report cybersecurity incidents to appropriate authorities.","","","","","","","","","","","","","","",""
"control","","","","false","","IAO","","","","IAO-01","Information Assurance Program","Execute impartial assessment processes to validate cybersecurity controls.","","","","","","","","","","","","","","",""
"control","","","","false","","IAO","","","","IAO-02","Assessments","Conduct security assessments on a defined frequency.","","","","","","","","","","","","","","",""
"control","","","","false","","MNT","","","","MNT-01","System Maintenance","Proactively maintain technology assets according to vendor recommendations.","","","","","","","","","","","","","","",""
"control","","","","false","","MNT","","","","MNT-02","Controlled Maintenance","Schedule and control maintenance activities.","","","","","","","","","","","","","","",""
"control","","","","false","","MDM","","","","MDM-01","Mobile Device Security","Implement measures to restrict mobile device connectivity with critical infrastructure.","","","","","","","","","","","","","","",""
"control","","","","false","","NET","","","","NET-01","Network Security Management","Implement secure defense-in-depth network architecture.","","","","","","","","","","","","","","",""
"control","","","","false","","NET","","","","NET-02","Network Segmentation","Segment networks based on security requirements and data classification.","","","","","","","","","","","","","","",""
"control","","","","false","","NET","","","","NET-03","Boundary Protection","Monitor and control communications at the network boundary.","","","","","","","","","","","","","","",""
"control","","","","false","","PES","","","","PES-01","Physical & Environmental Protection","Protect physical environments through layers of physical security.","","","","","","","","","","","","","","",""
"control","","","","false","","PES","","","","PES-02","Physical Access Controls","Enforce physical access authorizations at defined entry points.","","","","","","","","","","","","","","",""
"control","","","","false","","PRI","","","","PRI-01","Data Privacy Program","Align data privacy practices with industry-recognized principles.","","","","","","","","","","","","","","",""
"control","","","","false","","PRI","","","","PRI-02","Data Privacy Impact Assessment","Conduct data privacy impact assessments for systems processing personal data.","","","","","","","","","","","","","","",""
"control","","","","false","","PRI","","","","PRI-03","Data Subject Rights","Implement processes to respond to data subject rights requests.","","","","","","","","","","","","","","",""
"control","","","","false","","PRM","","","","PRM-01","Project & Resource Management","Operationalize a viable strategy to achieve cybersecurity objectives.","","","","","","","","","","","","","","",""
"control","","","","false","","RSK","","","","RSK-01","Risk Management Program","Proactively identify, assess, prioritize and remediate risk.","","","","","","","","","","","","","","",""
"control","","","","false","","RSK","","","","RSK-02","Risk Assessment","Conduct risk assessments and evaluate risk against organizational risk threshold.","","","","","","","","","","","","","","",""
"control","","","","false","","RSK","","","","RSK-03","Risk Response","Respond to risk based on the organization's risk appetite.","","","","","","","","","","","","","","",""
"control","","","","false","","SEA","","","","SEA-01","Secure Engineering Principles","Utilize industry-recognized secure engineering and architecture principles.","","","","","","","","","","","","","","",""
"control","","","","false","","SEA","","","","SEA-02","Security Architecture","Design and implement security architectures for information systems.","","","","","","","","","","","","","","",""
"control","","","","false","","OPS","","","","OPS-01","Security Operations","Execute cybersecurity operations to provide quality security services.","","","","","","","","","","","","","","",""
"control","","","","false","","OPS","","","","OPS-02","Security Concept of Operations","Develop security concepts of operations for information systems.","","","","","","","","","","","","","","",""
"control","","","","false","","SAT","","","","SAT-01","Security Awareness Program","Foster a cybersecurity-minded workforce through ongoing education.","","","","","","","","","","","","","","",""
"control","","","","false","","SAT","","","","SAT-02","Role-Based Security Training","Provide role-based security training for personnel with significant security roles.","","","","","","","","","","","","","","",""
"control","","","","false","","TDA","","","","TDA-01","Technology Development & Acquisition","Develop and acquire systems according to a Secure Software Development Framework.","","","","","","","","","","","","","","",""
"control","","","","false","","TDA","","","","TDA-02","Secure Software Development","Apply secure coding practices in software development.","","","","","","","","","","","","","","",""
"control","","","","false","","TPM","","","","TPM-01","Third-Party Management","Execute Supply Chain Risk Management practices for trustworthy third parties.","","","","","","","","","","","","","","",""
"control","","","","false","","TPM","","","","TPM-02","Third-Party Assessments","Assess the cybersecurity posture of third parties.","","","","","","","","","","","","","","",""
"control","","","","false","","THR","","","","THR-01","Threat Intelligence Program","Proactively identify and assess technology-related threats.","","","","","","","","","","","","","","",""
"control","","","","false","","THR","","","","THR-02","Threat Awareness","Maintain awareness of the current threat landscape.","","","","","","","","","","","","","","",""
"control","","","","false","","VPM","","","","VPM-01","Vulnerability & Patch Management","Leverage Attack Surface Management practices to strengthen security.","","","","","","","","","","","","","","",""
"control","","","","false","","VPM","","","","VPM-02","Vulnerability Scanning","Conduct vulnerability scanning on a regular basis.","","","","","","","","","","","","","","",""
"control","","","","false","","VPM","","","","VPM-03","Patch Management","Apply security patches within defined timeframes.","","","","","","","","","","","","","","",""
"control","","","","false","","WEB","","","","WEB-01","Web Security","Ensure security and resilience of Internet-facing technologies.","","","","","","","","","","","","","","",""
"control","","","","false","","WEB","","","","WEB-02","Web Application Firewall","Implement web application firewalls for Internet-facing applications.","","","","","","","","","","","","","","",""
"framework","","","","false","","","","","","","","","ISO-27001","ISO/IEC 27001:2022","2022","ISO/IEC","framework","","","","","","","","","",""
"framework","","","","false","","","","","","","","","NIST-CSF-2","NIST Cybersecurity Framework 2.0","2.0","NIST","framework","","","","","","","","","",""
"framework","","","","false","","","","","","","","","NIST-800-53","NIST SP 800-53 Rev. 5","Rev. 5","NIST","framework","","","","","","","","","",""
"framework","","","","false","","","","","","","","","SOC2-TSC","Trust Services Criteria (SOC 2)","2017","AICPA","framework","","","","","","","","","",""
"framework","","","","false","","","","","","","","","PCI-DSS-4","PCI DSS v4.0.1","4.0.1","PCI SSC","regulation","","","","","","","","","",""
"framework","","","","false","","","","","","","","","EU-GDPR","EU General Data Protection Regulation","2016/679","European Parliament","law","","","","","","","","","",""
"framework","","","","false","","","","","","","","","CIS-CSC-8","CIS Critical Security Controls v8","8","CIS","framework","","","","","","","","","",""
"framework","","","","false","","","","","","","","","CMMC-2","CMMC Level 2","2.0","US DoD","regulation","","","","","","","","","",""
"framework","","","","false","","","","","","","","","HIPAA","HIPAA Security Rule","2003","HHS","law","","","","","","","","","",""
"framework","","","","false","","","","","","","","","EU-NIS2","EU NIS2 Directive","2022/2555","European Parliament","law","","","","","","","","","",""
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.5.1","Policies for information security","","","","","","","",""
"mapping","","","","false","","","","","","GOV-01","","","ISO-27001","","","","","A.5.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","GOV-02","","","ISO-27001","","","","","A.5.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.5.2","Information security roles and responsibilities","","","","","","","",""
"mapping","","","","false","","","","","","GOV-04","","","ISO-27001","","","","","A.5.2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.6.1","Screening","","","","","","","",""
"mapping","","","","false","","","","","","HRS-02","","","ISO-27001","","","","","A.6.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.7.1","Physical security perimeters","","","","","","","",""
"mapping","","","","false","","","","","","PES-01","","","ISO-27001","","","","","A.7.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","PES-02","","","ISO-27001","","","","","A.7.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.8.1","User endpoint devices","","","","","","","",""
"mapping","","","","false","","","","","","END-01","","","ISO-27001","","","","","A.8.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","MDM-01","","","ISO-27001","","","","","A.8.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.8.3","Information access restriction","","","","","","","",""
"mapping","","","","false","","","","","","IAC-04","","","ISO-27001","","","","","A.8.3","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-05","","","ISO-27001","","","","","A.8.3","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.8.5","Secure authentication","","","","","","","",""
"mapping","","","","false","","","","","","IAC-02","","","ISO-27001","","","","","A.8.5","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-03","","","ISO-27001","","","","","A.8.5","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.8.9","Configuration management","","","","","","","",""
"mapping","","","","false","","","","","","CFG-01","","","ISO-27001","","","","","A.8.9","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","CFG-02","","","ISO-27001","","","","","A.8.9","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.8.15","Logging","","","","","","","",""
"mapping","","","","false","","","","","","MON-01","","","ISO-27001","","","","","A.8.15","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","MON-02","","","ISO-27001","","","","","A.8.15","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.8.24","Use of cryptography","","","","","","","",""
"mapping","","","","false","","","","","","CRY-01","","","ISO-27001","","","","","A.8.24","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","CRY-02","","","ISO-27001","","","","","A.8.24","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","ISO-27001","","","","","A.8.28","Secure coding","","","","","","","",""
"mapping","","","","false","","","","","","TDA-02","","","ISO-27001","","","","","A.8.28","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","GV.OC-01","Organizational context is understood","","","","","","","",""
"mapping","","","","false","","","","","","GOV-01","","","NIST-CSF-2","","","","","GV.OC-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","RSK-01","","","NIST-CSF-2","","","","","GV.OC-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","ID.AM-01","Hardware assets are inventoried","","","","","","","",""
"mapping","","","","false","","","","","","AST-01","","","NIST-CSF-2","","","","","ID.AM-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","AST-02","","","NIST-CSF-2","","","","","ID.AM-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","PR.AA-01","Identities and credentials are managed","","","","","","","",""
"mapping","","","","false","","","","","","IAC-01","","","NIST-CSF-2","","","","","PR.AA-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-02","","","NIST-CSF-2","","","","","PR.AA-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","PR.DS-01","Data-at-rest is protected","","","","","","","",""
"mapping","","","","false","","","","","","CRY-01","","","NIST-CSF-2","","","","","PR.DS-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","DCH-01","","","NIST-CSF-2","","","","","PR.DS-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","PR.PS-01","Configuration management is applied","","","","","","","",""
"mapping","","","","false","","","","","","CFG-01","","","NIST-CSF-2","","","","","PR.PS-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","CHG-01","","","NIST-CSF-2","","","","","PR.PS-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","DE.CM-01","Networks are monitored","","","","","","","",""
"mapping","","","","false","","","","","","MON-01","","","NIST-CSF-2","","","","","DE.CM-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","NET-03","","","NIST-CSF-2","","","","","DE.CM-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","RS.MA-01","Incident management is executed","","","","","","","",""
"mapping","","","","false","","","","","","IRO-01","","","NIST-CSF-2","","","","","RS.MA-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IRO-02","","","NIST-CSF-2","","","","","RS.MA-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","NIST-CSF-2","","","","","RC.RP-01","Recovery plan is executed","","","","","","","",""
"mapping","","","","false","","","","","","BCD-01","","","NIST-CSF-2","","","","","RC.RP-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","BCD-03","","","NIST-CSF-2","","","","","RC.RP-01","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","SOC2-TSC","","","","","CC1.1","COSO Principle 1: Demonstrates commitment to integrity","","","","","","","",""
"mapping","","","","false","","","","","","GOV-01","","","SOC2-TSC","","","","","CC1.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","GOV-04","","","SOC2-TSC","","","","","CC1.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","SOC2-TSC","","","","","CC6.1","Logical and physical access controls","","","","","","","",""
"mapping","","","","false","","","","","","IAC-01","","","SOC2-TSC","","","","","CC6.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","IAC-04","","","SOC2-TSC","","","","","CC6.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","PES-02","","","SOC2-TSC","","","","","CC6.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","SOC2-TSC","","","","","CC7.2","Security event monitoring","","","","","","","",""
"mapping","","","","false","","","","","","MON-01","","","SOC2-TSC","","","","","CC7.2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","MON-02","","","SOC2-TSC","","","","","CC7.2","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","SOC2-TSC","","","","","CC8.1","Change management processes","","","","","","","",""
"mapping","","","","false","","","","","","CHG-01","","","SOC2-TSC","","","","","CC8.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","CHG-02","","","SOC2-TSC","","","","","CC8.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","PCI-DSS-4","","","","","1.2.1","Network security controls are configured","","","","","","","",""
"mapping","","","","false","","","","","","NET-01","","","PCI-DSS-4","","","","","1.2.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","NET-02","","","PCI-DSS-4","","","","","1.2.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","PCI-DSS-4","","","","","3.5.1","Primary account numbers are secured","","","","","","","",""
"mapping","","","","false","","","","","","CRY-01","","","PCI-DSS-4","","","","","3.5.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","DCH-01","","","PCI-DSS-4","","","","","3.5.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","PCI-DSS-4","","","","","6.2.1","Secure development practices","","","","","","","",""
"mapping","","","","false","","","","","","TDA-01","","","PCI-DSS-4","","","","","6.2.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","TDA-02","","","PCI-DSS-4","","","","","6.2.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","PCI-DSS-4","","","","","8.3.1","Multi-factor authentication","","","","","","","",""
"mapping","","","","false","","","","","","IAC-03","","","PCI-DSS-4","","","","","8.3.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","PCI-DSS-4","","","","","10.2.1","Audit log implementation","","","","","","","",""
"mapping","","","","false","","","","","","MON-01","","","PCI-DSS-4","","","","","10.2.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","MON-03","","","PCI-DSS-4","","","","","10.2.1","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","EU-GDPR","","","","","Art.5","Principles relating to processing of personal data","","","","","","","",""
"mapping","","","","false","","","","","","PRI-01","","","EU-GDPR","","","","","Art.5","","","","","","","related","SCF 2024.4 official crosswalk","true"
"mapping","","","","false","","","","","","DCH-01","","","EU-GDPR","","","","","Art.5","","","","","","","related","SCF 2024.4 official crosswalk","true"
"requirement","","","","false","","","","","0","","","","EU-GDPR","","","","","Art.25","Data protection by design and by default","","","","","","","",""
